algorithm,n,time
cubic,30,0.19112586975097656
cubic,30,0.2028038501739502
cubic,30,0.19303011894226074
cubic,30,0.21298885345458984
cubic,30,0.20278310775756836
cubic,42,0.22076106071472168
cubic,42,0.1935737133026123
cubic,42,0.2043290138244629
cubic,42,0.20794200897216797
cubic,42,0.20313000679016113
cubic,59,0.19050812721252441
cubic,59,0.20383620262145996
cubic,59,0.19746875762939453
cubic,59,0.19007110595703125
cubic,59,0.19489192962646484
cubic,84,0.1817638874053955
cubic,84,0.19695305824279785
cubic,84,0.1862339973449707
cubic,84,0.19420194625854492
cubic,84,0.19554781913757324
cubic,118,0.1974492073059082
cubic,118,0.20386195182800293
cubic,118,0.19385814666748047
cubic,118,0.18619704246520996
cubic,118,0.19469785690307617
cubic,167,0.20223212242126465
cubic,167,0.20984387397766113
cubic,167,0.21015405654907227
cubic,167,0.20238804817199707
cubic,167,0.21115684509277344
cubic,235,0.2633836269378662
cubic,235,0.29552698135375977
cubic,235,0.2550067901611328
cubic,235,0.2347569465637207
cubic,235,0.23930978775024414
cubic,332,0.3890869617462158
cubic,332,0.3781280517578125
cubic,332,0.36507201194763184
cubic,332,0.3832540512084961
cubic,332,0.4042320251464844
cubic,468,0.8683829307556152
cubic,468,1.3097131252288818
cubic,468,0.8868498802185059
cubic,468,1.1288011074066162
cubic,468,0.8619461059570312
cubic,660,2.721153974533081
cubic,660,2.7427210807800293
cubic,660,2.783950090408325
cubic,660,2.731738805770874
cubic,660,2.7113919258117676
cubic,931,10.073814153671265
cubic,931,10.047049045562744
cubic,931,10.079535722732544
cubic,931,10.028136968612671
cubic,931,10.05918574333191
quartic,30,0.1862490177154541
quartic,30,0.19066286087036133
quartic,30,0.18178987503051758
quartic,30,0.18735003471374512
quartic,30,0.1818828582763672
quartic,42,0.204697847366333
quartic,42,0.1816558837890625
quartic,42,0.18436360359191895
quartic,42,0.19057106971740723
quartic,42,0.1796097755432129
quartic,59,0.1775517463684082
quartic,59,0.19064879417419434
quartic,59,0.2016758918762207
quartic,59,0.18682193756103516
quartic,59,0.18515992164611816
quartic,84,0.18863201141357422
quartic,84,0.19644904136657715
quartic,84,0.19192790985107422
quartic,84,0.1936328411102295
quartic,84,0.18265414237976074
quartic,118,0.20360708236694336
quartic,118,0.21097016334533691
quartic,118,0.2054462432861328
quartic,118,0.22812986373901367
quartic,118,0.2183518409729004
quartic,167,0.22934770584106445
quartic,167,0.22227787971496582
quartic,167,0.23008990287780762
quartic,167,0.21464180946350098
quartic,167,0.21253395080566406
quartic,235,0.22417402267456055
quartic,235,0.22050118446350098
quartic,235,0.2014620304107666
quartic,235,0.20919299125671387
quartic,235,0.2178208827972412
quartic,332,0.22131609916687012
quartic,332,0.22578716278076172
quartic,332,0.23413395881652832
quartic,332,0.2185499668121338
quartic,332,0.21788907051086426
quartic,468,0.25238490104675293
quartic,468,0.2306969165802002
quartic,468,0.23614788055419922
quartic,468,0.22510910034179688
quartic,468,0.2212519645690918
quartic,660,0.2552807331085205
quartic,660,0.24859905242919922
quartic,660,0.25333189964294434
quartic,660,0.2665431499481201
quartic,660,0.2650270462036133
quartic,931,0.3361380100250244
quartic,931,0.33364415168762207
quartic,931,0.33056163787841797
quartic,931,0.3387608528137207
quartic,931,0.3217580318450928
quartic,1313,0.5278987884521484
quartic,1313,0.5126919746398926
quartic,1313,0.5243849754333496
quartic,1313,0.5159151554107666
quartic,1313,0.5167942047119141
quartic,1852,1.0125072002410889
quartic,1852,1.0150558948516846
quartic,1852,1.011124849319458
quartic,1852,1.0004167556762695
quartic,1852,1.0090360641479492
quartic,2611,2.3118109703063965
quartic,2611,2.3193581104278564
quartic,2611,2.955778121948242
quartic,2611,2.3216660022735596
quartic,2611,2.3113229274749756
quartic,3682,5.985512018203735
quartic,3682,6.013900995254517
quartic,3682,6.047588109970093
quartic,3682,6.050518035888672
quartic,3682,6.018024206161499
quartic,5192,16.401814937591553
quartic,5192,16.859312057495117
quartic,5192,16.35319209098816
quartic,5192,16.355405807495117
quartic,5192,16.34417986869812
hashmap,30,0.19360613822937012
hashmap,30,0.18586373329162598
hashmap,30,0.19362831115722656
hashmap,30,0.18886899948120117
hashmap,30,0.18630075454711914
hashmap,42,0.17977690696716309
hashmap,42,0.18381428718566895
hashmap,42,0.18800091743469238
hashmap,42,0.1963179111480713
hashmap,42,0.1852881908416748
hashmap,59,0.2049849033355713
hashmap,59,0.18741989135742188
hashmap,59,0.18944096565246582
hashmap,59,0.1871042251586914
hashmap,59,0.21067214012145996
hashmap,84,0.1955420970916748
hashmap,84,0.22968602180480957
hashmap,84,0.18981575965881348
hashmap,84,0.21014094352722168
hashmap,84,0.21095967292785645
hashmap,118,0.21015501022338867
hashmap,118,0.2087078094482422
hashmap,118,0.20787286758422852
hashmap,118,0.19631576538085938
hashmap,118,0.20707106590270996
hashmap,167,0.20788812637329102
hashmap,167,0.20986318588256836
hashmap,167,0.2091200351715088
hashmap,167,0.20562100410461426
hashmap,167,0.20851492881774902
hashmap,235,0.21890687942504883
hashmap,235,0.2164011001586914
hashmap,235,0.2399749755859375
hashmap,235,0.21902894973754883
hashmap,235,0.2269899845123291
hashmap,332,0.22007012367248535
hashmap,332,0.22389626502990723
hashmap,332,0.21772003173828125
hashmap,332,0.22826480865478516
hashmap,332,0.2174842357635498
hashmap,468,0.24732184410095215
hashmap,468,0.25809717178344727
hashmap,468,0.25526928901672363
hashmap,468,0.265578031539917
hashmap,468,0.26195716857910156
hashmap,660,0.2738978862762451
hashmap,660,0.27744388580322266
hashmap,660,0.2871391773223877
hashmap,660,0.2868218421936035
hashmap,660,0.2747359275817871
hashmap,931,0.3486180305480957
hashmap,931,0.3417370319366455
hashmap,931,0.34382200241088867
hashmap,931,0.3651459217071533
hashmap,931,0.3409130573272705
hashmap,1313,0.45737791061401367
hashmap,1313,0.4582698345184326
hashmap,1313,0.4881720542907715
hashmap,1313,0.4957270622253418
hashmap,1313,0.5022008419036865
hashmap,1852,0.7736458778381348
hashmap,1852,0.7132501602172852
hashmap,1852,0.7472310066223145
hashmap,1852,0.7396659851074219
hashmap,1852,0.7340950965881348
hashmap,2611,1.2617731094360352
hashmap,2611,1.3145818710327148
hashmap,2611,1.3176000118255615
hashmap,2611,1.3387980461120605
hashmap,2611,1.2730050086975098
hashmap,3682,2.511826276779175
hashmap,3682,2.5197701454162598
hashmap,3682,2.5348222255706787
hashmap,3682,2.485581159591675
hashmap,3682,2.4784109592437744
hashmap,5192,4.942779064178467
hashmap,5192,4.942608833312988
hashmap,5192,5.072634220123291
hashmap,5192,4.915645122528076
hashmap,5192,4.994143009185791
hashmap,7321,11.181148052215576
hashmap,7321,11.37531304359436
hashmap,7321,11.12876272201538
hashmap,7321,11.467633962631226
hashmap,7321,11.51537013053894
