algorithm,n,time
cubic,30,0.17058610916137695
cubic,30,0.18003511428833008
cubic,30,0.17699313163757324
cubic,30,0.17266082763671875
cubic,30,0.17570114135742188
cubic,42,0.18015480041503906
cubic,42,0.1818828582763672
cubic,42,0.17553997039794922
cubic,42,0.17801618576049805
cubic,42,0.17789387702941895
cubic,59,0.18996405601501465
cubic,59,0.18166685104370117
cubic,59,0.18178415298461914
cubic,59,0.18255305290222168
cubic,59,0.1775650978088379
cubic,84,0.1775500774383545
cubic,84,0.17456793785095215
cubic,84,0.18358087539672852
cubic,84,0.1790599822998047
cubic,84,0.1830122470855713
cubic,118,0.19604992866516113
cubic,118,0.1932690143585205
cubic,118,0.19643688201904297
cubic,118,0.19867968559265137
cubic,118,0.20303893089294434
cubic,167,0.19558072090148926
cubic,167,0.2025768756866455
cubic,167,0.20191383361816406
cubic,167,0.20376205444335938
cubic,167,0.20458006858825684
cubic,235,0.19714808464050293
cubic,235,0.1927340030670166
cubic,235,0.20105290412902832
cubic,235,0.19617724418640137
cubic,235,0.19973134994506836
cubic,332,0.2021329402923584
cubic,332,0.2236781120300293
cubic,332,0.20905804634094238
cubic,332,0.19681715965270996
cubic,332,0.20417308807373047
cubic,468,0.23482179641723633
cubic,468,0.2291581630706787
cubic,468,0.21006536483764648
cubic,468,0.22122621536254883
cubic,468,0.22318530082702637
cubic,660,0.2532050609588623
cubic,660,0.27047276496887207
cubic,660,0.2501051425933838
cubic,660,0.2561039924621582
cubic,660,0.256436824798584
cubic,931,0.32681703567504883
cubic,931,0.33112430572509766
cubic,931,0.3226907253265381
cubic,931,0.3152499198913574
cubic,931,0.31228089332580566
cubic,1313,0.4919910430908203
cubic,1313,0.49487996101379395
cubic,1313,0.4928607940673828
cubic,1313,0.49692392349243164
cubic,1313,0.489804744720459
cubic,1852,0.9729781150817871
cubic,1852,0.9631431102752686
cubic,1852,0.9701528549194336
cubic,1852,0.9620940685272217
cubic,1852,0.9681007862091064
cubic,2611,2.2905118465423584
cubic,2611,2.2973990440368652
cubic,2611,2.309013843536377
cubic,2611,2.295429229736328
cubic,2611,2.297791004180908
cubic,3682,5.969362020492554
cubic,3682,5.959028959274292
cubic,3682,7.74011492729187
cubic,3682,6.155869245529175
cubic,3682,5.986530065536499
cubic,5192,16.241055965423584
cubic,5192,16.252998113632202
cubic,5192,16.23391580581665
cubic,5192,16.25041675567627
cubic,5192,16.254379987716675
quartic,30,0.18283605575561523
quartic,30,0.18302083015441895
quartic,30,0.18472599983215332
quartic,30,0.1804208755493164
quartic,30,0.1816999912261963
quartic,42,0.20119500160217285
quartic,42,0.18047404289245605
quartic,42,0.1891629695892334
quartic,42,0.19975805282592773
quartic,42,0.1831371784210205
quartic,59,0.20263886451721191
quartic,59,0.2018601894378662
quartic,59,0.1940150260925293
quartic,59,0.19203805923461914
quartic,59,0.1942288875579834
quartic,84,0.18945717811584473
quartic,84,0.1953599452972412
quartic,84,0.19378399848937988
quartic,84,0.198530912399292
quartic,84,0.2024540901184082
quartic,118,0.1994152069091797
quartic,118,0.20164108276367188
quartic,118,0.19735503196716309
quartic,118,0.20517563819885254
quartic,118,0.2022392749786377
quartic,167,0.2133197784423828
quartic,167,0.21726107597351074
quartic,167,0.21567082405090332
quartic,167,0.21213412284851074
quartic,167,0.20991277694702148
quartic,235,0.24710822105407715
quartic,235,0.240372896194458
quartic,235,0.2468738555908203
quartic,235,0.24654483795166016
quartic,235,0.24697613716125488
quartic,332,0.45135498046875
quartic,332,0.44254422187805176
quartic,332,0.3751499652862549
quartic,332,0.37624382972717285
quartic,332,0.3848142623901367
quartic,468,0.8563330173492432
quartic,468,0.8661839962005615
quartic,468,0.859935998916626
quartic,468,0.863746166229248
quartic,468,1.143239974975586
quartic,660,2.7714948654174805
quartic,660,2.784902811050415
quartic,660,2.7909770011901855
quartic,660,2.7996599674224854
quartic,660,2.7387099266052246
quartic,931,9.957083225250244
quartic,931,9.983094930648804
quartic,931,10.00964093208313
quartic,931,10.0297269821167
quartic,931,9.972395181655884
hashmap,30,0.18872594833374023
hashmap,30,0.17249608039855957
hashmap,30,0.18178081512451172
hashmap,30,0.17997097969055176
hashmap,30,0.19202518463134766
hashmap,42,0.18483424186706543
hashmap,42,0.17547082901000977
hashmap,42,0.18317294120788574
hashmap,42,0.18515872955322266
hashmap,42,0.18788981437683105
hashmap,59,0.1895158290863037
hashmap,59,0.17959809303283691
hashmap,59,0.18742799758911133
hashmap,59,0.18994688987731934
hashmap,59,0.18315982818603516
hashmap,84,0.19077777862548828
hashmap,84,0.20287299156188965
hashmap,84,0.20525503158569336
hashmap,84,0.20285797119140625
hashmap,84,0.20136809349060059
hashmap,118,0.2035541534423828
hashmap,118,0.19126009941101074
hashmap,118,0.20893168449401855
hashmap,118,0.1942610740661621
hashmap,118,0.2094259262084961
hashmap,167,0.20885300636291504
hashmap,167,0.20932507514953613
hashmap,167,0.22014284133911133
hashmap,167,0.21238398551940918
hashmap,167,0.21675491333007812
hashmap,235,0.21107769012451172
hashmap,235,0.21509504318237305
hashmap,235,0.2182772159576416
hashmap,235,0.21983718872070312
hashmap,235,0.21886396408081055
hashmap,332,0.22029972076416016
hashmap,332,0.2417159080505371
hashmap,332,0.23222899436950684
hashmap,332,0.2308361530303955
hashmap,332,0.23249197006225586
hashmap,468,0.25779032707214355
hashmap,468,0.2575509548187256
hashmap,468,0.23899078369140625
hashmap,468,0.25281691551208496
hashmap,468,0.25983691215515137
hashmap,660,0.2872600555419922
hashmap,660,0.28687500953674316
hashmap,660,0.2801549434661865
hashmap,660,0.28274106979370117
hashmap,660,0.28685688972473145
hashmap,931,0.36215710639953613
hashmap,931,0.3520009517669678
hashmap,931,0.35471200942993164
hashmap,931,0.3431990146636963
hashmap,931,0.3458731174468994
hashmap,1313,0.47211122512817383
hashmap,1313,0.46347689628601074
hashmap,1313,0.4635598659515381
hashmap,1313,0.4696190357208252
hashmap,1313,0.46061205863952637
hashmap,1852,0.7186622619628906
hashmap,1852,0.7304129600524902
hashmap,1852,0.7112476825714111
hashmap,1852,0.7273440361022949
hashmap,1852,0.7417490482330322
hashmap,2611,1.2693119049072266
hashmap,2611,1.2778291702270508
hashmap,2611,1.2635509967803955
hashmap,2611,1.2482249736785889
hashmap,2611,1.2362360954284668
hashmap,3682,2.3166611194610596
hashmap,3682,2.5224978923797607
hashmap,3682,2.5003719329833984
hashmap,3682,2.473771095275879
hashmap,3682,2.453435182571411
hashmap,5192,4.975044012069702
hashmap,5192,4.9557390213012695
hashmap,5192,4.9350080490112305
hashmap,5192,4.893038988113403
hashmap,5192,5.006209850311279
hashmap,7321,10.960409879684448
hashmap,7321,11.172227144241333
hashmap,7321,10.563149213790894
hashmap,7321,11.028976678848267
hashmap,7321,11.223726749420166
